epoch,train_loss,val_loss,train_loss_delta_%,val_loss_delta_%,train_wer,val_wer,train_wer_delta_%,val_wer_delta_%
1,4.199196,2.245896,,,101.3922,98.6747,,
2,2.061516,1.218678,-50.91,-45.74,93.1376,84.4454,-8.14,-14.42
3,1.396059,0.909233,-32.28,-25.39,79.6524,71.5470,-14.48,-15.27
4,1.129769,0.758896,-19.07,-16.53,69.9540,62.0216,-12.18,-13.31
1,4.187676,2.713609,,,99.9733,100.0000,,
2,2.378979,1.450769,-43.19,-46.54,96.8730,94.2282,-3.10,-5.77
3,1.621211,1.117721,-31.85,-22.96,87.6192,81.9253,-9.55,-13.06
4,1.375420,0.991693,-15.16,-11.28,80.9878,75.6516,-7.57,-7.66
1,4.339977,2.384834,,,100.0140,99.9945,,
2,2.166786,1.362052,-50.07,-42.89,95.6550,89.9581,-4.36,-10.04
3,1.608191,1.104015,-25.78,-18.94,87.2945,82.4731,-8.74,-8.32
4,1.380572,0.986362,-14.15,-10.66,81.2629,77.1810,-6.91,-6.42
5,1.232121,0.930369,-10.75,-5.68,76.2753,74.4329,-6.14,-3.56
6,1.118858,0.850552,-9.19,-8.58,72.0357,70.8485,-5.56,-4.82
7,1.030368,0.808286,-7.91,-4.97,68.3058,69.8706,-5.18,-1.38
8,0.948036,0.761512,-7.99,-5.79,64.9408,65.5105,-4.93,-6.24
9,0.877754,0.721209,-7.41,-5.29,61.8415,62.5381,-4.77,-4.54
10,0.818700,0.681720,-6.73,-5.48,59.1631,60.6577,-4.33,-3.01
11,0.764869,0.669245,-6.58,-1.83,56.7242,59.7331,-4.12,-1.52
12,0.711884,0.642321,-6.93,-4.02,54.2738,57.4666,-4.32,-3.79
13,0.666306,0.655130,-6.40,1.99,52.0761,57.4685,-4.05,0.00
14,0.622663,0.648570,-6.55,-1.00,49.9679,56.7626,-4.05,-1.23
